Date,TrafficVolume,AverageSpeed,AccidentsInsideCity,AccidentsOutsideCity,WeatherSeverity,RoadWorkLevel,CongestionIndex
22/02/2024,8842,58.1,5,1,1,1,55.3
23/02/2024,6373,68.5,4,3,2,1,37.3
24/02/2024,8251,69.5,7,3,0,0,47.6
25/02/2024,9180,56.8,2,2,0,2,69.0
26/02/2024,11984,49.7,2,3,0,2,68.3
27/02/2024,10131,70.3,5,1,0,1,58.2
28/02/2024,11082,57.5,3,3,0,1,59.2
29/02/2024,9613,57.7,5,1,0,1,67.0
01/03/2024,5579,67.0,9,5,0,1,38.9
02/03/2024,7471,63.0,3,3,1,2,57.8
03/03/2024,8453,63.3,4,2,1,1,52.2
04/03/2024,11273,61.2,3,2,0,2,65.3
05/03/2024,9970,54.9,4,3,1,2,66.9
06/03/2024,8810,62.2,2,3,1,1,56.3
07/03/2024,10252,62.2,4,1,1,1,55.6
08/03/2024,5788,70.1,8,4,0,1,33.9
09/03/2024,6593,66.9,3,3,1,2,34.6
10/03/2024,9964,53.4,2,3,1,2,80.3
11/03/2024,8598,61.7,4,5,2,1,55.8
12/03/2024,7006,67.5,3,4,0,1,37.6
13/03/2024,8397,58.9,9,1,1,2,64.9
14/03/2024,7740,61.8,8,5,0,1,54.2
15/03/2024,6793,63.7,2,2,0,0,43.3
16/03/2024,5953,72.0,6,4,2,0,43.7
17/03/2024,8225,68.3,8,3,1,1,55.7
18/03/2024,8625,59.7,3,8,0,2,58.1
19/03/2024,9885,58.1,4,0,1,2,64.6
20/03/2024,9905,61.3,1,1,2,1,54.3
21/03/2024,7939,65.6,4,3,0,2,50.8
22/03/2024,4964,75.2,6,2,0,2,39.8
23/03/2024,6353,68.4,4,2,3,1,49.0
24/03/2024,7264,72.1,4,6,0,0,29.3
25/03/2024,9056,70.3,3,5,0,1,60.7
26/03/2024,7937,58.5,4,2,1,2,50.8
27/03/2024,9869,58.0,4,4,0,1,58.4
28/03/2024,8455,63.2,6,2,1,2,62.2
29/03/2024,5236,73.1,3,3,0,2,44.7
30/03/2024,6197,70.8,1,3,0,1,41.7
31/03/2024,8317,62.8,2,3,1,1,60.4
01/04/2024,9153,65.1,7,0,0,0,48.7
02/04/2024,8408,60.5,2,2,0,0,39.6
03/04/2024,8092,59.1,2,2,2,0,35.3
04/04/2024,6095,71.1,3,4,0,0,31.9
05/04/2024,4037,70.6,3,2,0,1,34.1
06/04/2024,4952,67.8,5,3,1,0,21.9
07/04/2024,7027,62.4,6,7,1,1,49.4
08/04/2024,7764,62.2,4,2,2,0,57.4
09/04/2024,7253,66.6,4,1,1,0,42.6
10/04/2024,4488,70.1,0,1,1,1,36.5
11/04/2024,4641,61.9,2,1,1,1,41.8
12/04/2024,3008,66.7,5,4,0,0,38.6
13/04/2024,3176,73.6,5,3,2,1,34.2
14/04/2024,5993,73.9,1,0,0,1,38.7
15/04/2024,5346,70.8,5,3,1,0,47.1
16/04/2024,11278,62.7,2,4,1,1,65.0
17/04/2024,8599,63.3,0,2,1,1,54.8
18/04/2024,8296,63.8,6,0,1,1,55.1
19/04/2024,6379,72.3,4,5,2,0,29.3
20/04/2024,5431,67.2,5,3,0,0,28.6
21/04/2024,7110,61.6,3,4,1,1,41.9
22/04/2024,10169,53.1,0,1,1,0,51.8
23/04/2024,9796,59.6,3,1,2,0,52.3
24/04/2024,8642,54.8,4,1,1,0,56.9
25/04/2024,11282,60.7,5,2,2,1,71.8
26/04/2024,4197,74.1,8,0,1,1,30.4
27/04/2024,6387,75.4,3,2,0,0,50.0
28/04/2024,7924,62.4,1,3,0,0,42.4
29/04/2024,9901,59.5,0,2,1,0,53.3
30/04/2024,8690,58.7,2,1,0,0,47.2
01/05/2024,9516,50.2,9,1,0,0,64.5
02/05/2024,7984,69.4,6,2,0,1,46.6
03/05/2024,6060,70.1,0,1,1,1,45.2
04/05/2024,5051,77.4,5,0,0,0,27.3
05/05/2024,9839,58.5,4,1,1,1,55.7
06/05/2024,8927,61.7,4,4,0,0,42.9
07/05/2024,7265,62.0,8,1,0,1,49.1
08/05/2024,8742,58.8,4,0,0,1,52.8
09/05/2024,7066,68.6,2,5,1,0,36.9
10/05/2024,5940,70.0,1,2,0,1,50.3
11/05/2024,5187,71.4,3,4,0,1,28.0
12/05/2024,9274,60.5,5,2,2,0,61.2
13/05/2024,7012,65.1,2,2,0,1,39.0
14/05/2024,8232,61.0,3,2,1,0,50.4
15/05/2024,8652,60.1,3,2,1,0,62.7
16/05/2024,8578,58.3,4,2,0,1,41.6
17/05/2024,5386,67.0,3,3,0,0,37.3
18/05/2024,6742,61.0,2,4,1,0,44.8
19/05/2024,6818,68.3,2,2,0,0,40.5
20/05/2024,8058,55.8,1,3,1,0,51.0
21/05/2024,9408,63.0,3,3,0,1,54.3
22/05/2024,8939,74.0,4,2,0,1,47.9
23/05/2024,9960,64.5,4,1,0,0,41.5
24/05/2024,5984,65.0,5,2,0,1,38.2
25/05/2024,5958,61.5,6,2,2,0,56.8
26/05/2024,8035,56.4,4,1,0,1,54.2
27/05/2024,10772,50.4,3,2,1,0,55.7
28/05/2024,8087,61.7,3,5,3,0,60.3
29/05/2024,10076,65.4,1,0,1,1,70.8
30/05/2024,8490,65.3,5,3,1,1,58.4
31/05/2024,6157,59.6,5,3,0,1,33.1
01/06/2024,4966,74.4,7,3,2,1,48.7
02/06/2024,9831,50.8,4,5,2,1,63.5
03/06/2024,8948,61.2,6,3,0,2,55.4
04/06/2024,8590,63.1,8,1,1,1,47.7
05/06/2024,8573,64.7,1,2,0,0,40.4
06/06/2024,8279,63.9,7,4,0,1,50.1
07/06/2024,5469,66.4,4,0,2,1,38.7
08/06/2024,5798,66.3,5,0,2,1,46.5
09/06/2024,8830,54.7,7,3,0,0,55.8
10/06/2024,7140,56.3,4,6,1,1,48.2
11/06/2024,9839,66.4,2,3,2,0,57.8
12/06/2024,7136,71.8,1,2,2,0,32.8
13/06/2024,8580,57.1,2,1,2,0,52.9
14/06/2024,6598,75.3,6,5,2,0,59.6
15/06/2024,4632,72.2,3,4,0,0,52.3
16/06/2024,6543,66.9,3,1,0,0,42.4
17/06/2024,5803,72.1,10,3,2,0,53.8
18/06/2024,6019,73.0,4,2,0,0,46.0
19/06/2024,5644,62.3,5,3,1,1,55.7
20/06/2024,5545,70.4,2,1,1,0,33.3
21/06/2024,5798,61.8,5,4,1,1,41.1
22/06/2024,5172,77.8,5,0,2,0,32.9
23/06/2024,8091,62.4,3,2,4,0,43.2
24/06/2024,7771,64.9,1,0,2,0,47.4
25/06/2024,7993,59.1,7,2,1,2,53.9
26/06/2024,7066,66.9,2,1,0,1,49.1
27/06/2024,7720,71.7,2,1,1,0,35.9
28/06/2024,4998,73.8,3,1,2,1,45.5
29/06/2024,4831,75.6,4,2,2,0,48.6
30/06/2024,9276,53.3,4,3,3,1,62.0
01/07/2024,7933,68.6,3,2,3,0,46.3
02/07/2024,8372,60.4,4,2,2,0,58.4
03/07/2024,6972,68.4,0,1,3,1,46.8
04/07/2024,8516,71.7,5,3,2,1,56.3
05/07/2024,5305,72.4,2,4,0,0,29.6
06/07/2024,5308,80.9,2,1,2,2,45.9
07/07/2024,6522,63.7,4,3,2,0,49.1
08/07/2024,8422,64.1,2,2,1,0,60.1
09/07/2024,6648,61.4,1,1,3,0,47.1
10/07/2024,8914,67.3,1,2,2,0,49.6
11/07/2024,8580,64.2,5,1,2,2,55.9
12/07/2024,5187,70.1,1,1,2,1,44.4
13/07/2024,5810,70.4,4,1,3,1,49.3
14/07/2024,7149,71.8,3,1,1,1,49.7
15/07/2024,7021,60.6,1,2,2,1,53.2
16/07/2024,8153,67.0,7,3,2,1,49.5
17/07/2024,9418,63.3,2,1,1,1,54.5
18/07/2024,8697,57.3,3,4,1,2,61.5
19/07/2024,5180,68.4,3,2,2,1,51.8
20/07/2024,4680,76.2,3,0,2,1,46.5
21/07/2024,7868,66.6,3,5,1,1,60.0
22/07/2024,6415,68.8,3,1,2,1,50.2
23/07/2024,5743,62.6,3,1,3,0,51.5
24/07/2024,8076,65.9,1,1,0,0,39.8
25/07/2024,7281,62.5,6,0,2,0,35.2
26/07/2024,5379,73.7,4,1,2,1,43.2
27/07/2024,5229,72.8,5,2,2,0,40.7
28/07/2024,7682,68.8,5,5,3,1,53.6
29/07/2024,8153,70.1,1,1,2,1,53.1
30/07/2024,7950,67.2,5,3,2,0,55.6
31/07/2024,7245,68.4,2,5,2,0,50.8
01/08/2024,9942,61.8,6,1,2,0,60.5
02/08/2024,5066,59.8,2,2,3,1,53.2
03/08/2024,6045,79.1,0,3,3,1,42.8
04/08/2024,7463,72.0,3,2,3,1,44.9
05/08/2024,7012,71.4,3,0,2,0,48.1
06/08/2024,8421,58.5,4,2,2,0,51.5
07/08/2024,10263,67.2,6,0,1,0,50.5
08/08/2024,7534,65.0,5,1,0,1,52.3
09/08/2024,4746,75.1,6,1,2,1,48.4
10/08/2024,5229,73.2,5,2,1,0,34.6
11/08/2024,5831,69.2,1,4,0,2,47.7
12/08/2024,9317,59.5,4,1,3,0,46.5
13/08/2024,9368,58.6,2,2,2,1,59.3
14/08/2024,8774,56.7,3,2,3,1,63.9
15/08/2024,7003,75.9,2,1,2,1,43.3
16/08/2024,5894,63.4,5,3,2,1,43.9
17/08/2024,5712,64.3,1,3,2,1,57.5
18/08/2024,6905,71.9,1,3,3,0,39.6
19/08/2024,8031,55.4,2,5,2,2,70.9
20/08/2024,5673,75.4,3,3,2,0,40.7
21/08/2024,8620,62.6,3,0,3,1,55.7
22/08/2024,9233,69.0,3,1,2,2,62.8
23/08/2024,5370,65.5,2,1,2,0,49.6
24/08/2024,5884,65.9,1,5,2,0,39.3
25/08/2024,7360,64.0,2,2,2,1,57.7
26/08/2024,7121,59.5,4,2,2,0,52.8
27/08/2024,6760,61.1,1,0,0,1,43.5
28/08/2024,7104,63.6,1,0,3,0,57.2
29/08/2024,7887,68.8,5,5,1,0,47.5
30/08/2024,5134,73.7,4,0,2,1,40.1
31/08/2024,5761,67.8,4,6,2,0,37.1
01/09/2024,7314,68.2,1,0,1,0,49.3
02/09/2024,7661,58.2,7,0,3,0,44.5
03/09/2024,8660,58.9,3,4,1,1,52.7
04/09/2024,9526,60.6,2,2,2,0,59.5
05/09/2024,8523,55.9,1,3,1,1,62.2
06/09/2024,4439,72.2,6,4,1,0,37.8
07/09/2024,6102,69.0,4,1,1,0,45.9
08/09/2024,8489,56.5,6,1,2,1,53.2
09/09/2024,9661,58.8,2,3,0,0,50.1
10/09/2024,10418,51.8,4,2,2,1,72.1
11/09/2024,9870,74.0,3,3,2,0,46.2
12/09/2024,7661,68.6,5,6,0,0,44.2
13/09/2024,5794,64.1,2,1,0,1,38.7
14/09/2024,4596,75.2,2,0,0,1,39.0
15/09/2024,8562,59.4,2,3,1,2,61.4
16/09/2024,9200,54.8,2,1,0,0,45.1
17/09/2024,8632,56.4,2,1,1,1,65.4
18/09/2024,6953,69.1,2,2,0,1,48.3
19/09/2024,9685,50.0,4,1,1,1,50.0
20/09/2024,4911,70.5,5,0,1,1,35.6
21/09/2024,5774,70.5,2,2,0,0,31.7
22/09/2024,10158,63.8,7,5,1,0,50.1
23/09/2024,4844,66.7,3,2,1,1,48.2
24/09/2024,10503,55.3,1,1,3,0,57.3
25/09/2024,9617,55.7,2,3,1,1,60.9
26/09/2024,9396,56.5,6,2,2,0,60.5
27/09/2024,5038,62.5,3,3,0,1,38.9
28/09/2024,5235,63.1,6,2,1,2,46.1
29/09/2024,9053,60.0,4,2,1,1,49.4
30/09/2024,8242,69.4,2,2,1,0,35.0
01/10/2024,9393,61.2,3,3,2,1,58.8
02/10/2024,7919,59.0,5,3,0,1,49.6
03/10/2024,9353,57.8,5,1,1,1,57.3
04/10/2024,4791,75.4,5,1,2,2,49.1
05/10/2024,5750,60.4,3,1,2,2,64.3
06/10/2024,9316,51.6,7,2,1,1,56.6
07/10/2024,9611,65.8,7,1,0,1,45.5
08/10/2024,8952,54.8,5,1,1,2,56.7
09/10/2024,10764,50.3,2,1,1,1,72.8
10/10/2024,9995,69.2,3,1,1,1,51.1
11/10/2024,6446,73.0,6,4,0,1,39.3
12/10/2024,7387,62.3,1,3,1,1,52.2
13/10/2024,8987,52.9,4,4,0,1,50.1
14/10/2024,9195,63.3,2,1,0,1,59.4
15/10/2024,11633,52.2,3,0,0,1,51.3
16/10/2024,9923,61.4,6,3,1,3,75.8
17/10/2024,10631,61.6,6,1,2,1,58.7
18/10/2024,5943,71.9,5,2,0,1,48.6
19/10/2024,5964,81.3,3,2,0,1,35.0
20/10/2024,10492,60.1,6,2,0,2,62.7
21/10/2024,10545,53.0,2,3,2,1,73.1
22/10/2024,7841,60.5,4,4,1,2,49.4
23/10/2024,11088,53.9,0,3,2,0,74.4
24/10/2024,9548,60.4,5,1,0,1,59.2
25/10/2024,5792,72.9,3,0,0,2,41.2
26/10/2024,7202,63.1,2,1,2,1,53.6
27/10/2024,11308,58.6,3,1,0,1,65.0
28/10/2024,8989,66.6,2,3,0,1,45.7
29/10/2024,7979,62.7,0,1,0,0,55.5
30/10/2024,8388,58.0,3,3,1,1,54.1
31/10/2024,8434,62.0,3,1,0,0,41.4
01/11/2024,5814,68.9,2,3,1,2,41.3
02/11/2024,6168,71.6,2,5,0,0,41.4
03/11/2024,11621,57.2,5,6,1,2,67.4
04/11/2024,8039,68.1,2,0,0,0,39.0
05/11/2024,9543,51.0,1,4,0,1,57.3
06/11/2024,9127,63.8,5,2,0,1,58.6
07/11/2024,11283,46.3,3,2,0,2,68.3
08/11/2024,6718,64.4,1,5,0,2,45.3
09/11/2024,8219,73.1,0,2,0,2,53.4
10/11/2024,11170,48.2,5,2,0,2,69.6
11/11/2024,7965,67.4,5,2,2,1,59.6
12/11/2024,10697,62.1,5,4,1,2,59.9
13/11/2024,9293,63.4,1,4,0,3,57.2
14/11/2024,10687,55.8,5,5,2,0,57.5
15/11/2024,5656,61.9,3,2,0,1,46.5
16/11/2024,7391,65.2,4,0,1,3,58.0
17/11/2024,10182,51.1,4,1,0,1,77.0
18/11/2024,9984,60.2,4,1,2,0,57.4
19/11/2024,11237,53.3,4,2,0,1,64.3
20/11/2024,11036,56.4,1,2,0,1,69.8
21/11/2024,9690,63.4,6,2,0,2,72.4
22/11/2024,6243,57.2,6,3,2,0,38.2
23/11/2024,7148,69.6,2,6,0,3,55.3
24/11/2024,10250,50.2,1,3,1,1,62.0
25/11/2024,10311,60.9,2,0,1,1,54.8
26/11/2024,9688,58.0,2,2,0,3,67.7
27/11/2024,10613,40.5,6,0,0,1,72.9
28/11/2024,7801,77.6,7,3,0,1,35.6
29/11/2024,7207,58.6,3,5,1,1,56.1
30/11/2024,5593,60.6,8,2,1,2,50.1
01/12/2024,11424,59.6,3,1,1,2,69.2
02/12/2024,11602,55.4,1,3,2,2,66.2
03/12/2024,11093,53.7,5,1,1,2,73.1
04/12/2024,9494,50.8,2,3,0,1,56.8
05/12/2024,9642,69.0,4,3,1,1,40.4
06/12/2024,6627,70.6,5,4,1,1,54.3
07/12/2024,7575,65.9,2,0,1,1,43.9
08/12/2024,13542,53.1,3,2,2,2,74.4
09/12/2024,9526,56.7,2,3,0,2,62.1
10/12/2024,10208,53.2,5,2,0,0,59.5
11/12/2024,9368,56.5,3,3,1,2,68.5
12/12/2024,8929,61.6,4,1,0,0,44.7
13/12/2024,5906,71.3,2,2,1,2,39.0
14/12/2024,6211,63.5,1,3,1,2,40.8
15/12/2024,8205,60.7,4,2,1,1,61.9
16/12/2024,9371,59.1,3,2,0,2,55.9
17/12/2024,12916,50.8,4,1,0,2,62.9
18/12/2024,9275,55.7,7,1,1,2,55.7
19/12/2024,11738,49.9,5,1,1,1,70.9
20/12/2024,5621,72.6,6,0,2,1,51.5
21/12/2024,7434,69.8,2,2,0,1,41.8
22/12/2024,10495,60.5,2,3,1,1,63.6
23/12/2024,10072,59.5,1,1,0,2,62.2
24/12/2024,10957,62.4,5,1,0,2,61.7
25/12/2024,9797,61.7,2,3,0,0,55.4
26/12/2024,13566,50.3,7,2,2,3,87.3
27/12/2024,7869,69.0,4,4,0,0,41.1
28/12/2024,6822,67.4,2,2,2,2,50.2
29/12/2024,10960,54.9,4,5,2,0,65.2
30/12/2024,11012,58.2,2,1,1,1,52.6
31/12/2024,9133,72.5,4,0,0,1,48.5
